컬렉션명,페이지_수,쿼리,Recall_5_평균,Recall_5_표준편차,Recall_10_평균,Recall_10_표준편차,Brute_Force_시간_ms,HNSW_시간_ms
collection_0001_1000pages,1000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,83.98063977559407,7.169882456461589
collection_0001_1000pages,1000,자연어 처리 기술,1.0,0.0,1.0,0.0,64.2697016398112,7.901191711425781
collection_0001_1000pages,1000,컴퓨터 비전 알고리즘,1.0,0.0,1.0,0.0,59.75524584452311,1.3366540273030598
collection_0001_1000pages,1000,강화학습 기법,1.0,0.0,1.0,0.0,73.74882698059082,1.3360977172851562
collection_0001_1000pages,1000,신경망 아키텍처,1.0,0.0,1.0,0.0,65.64640998840332,0.667572021484375
collection_0002_2000pages,2000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,151.88090006510416,5.725622177124023
collection_0002_2000pages,2000,자연어 처리 기술,1.0,0.0,1.0,0.0,156.23998641967773,5.787134170532227
collection_0002_2000pages,2000,컴퓨터 비전 알고리즘,1.0,0.0,1.0,0.0,140.33015569051108,1.33514404296875
collection_0002_2000pages,2000,강화학습 기법,1.0,0.0,1.0,0.0,135.41666666666666,4.72871462504069
collection_0002_2000pages,2000,신경망 아키텍처,1.0,0.0,1.0,0.0,151.3359546661377,0.6674925486246744
collection_0003_3000pages,3000,딥러닝 모델의 성능 향상 방법,1.0,0.0,0.9,0.0,219.8797861735026,10.946035385131836
collection_0003_3000pages,3000,자연어 처리 기술,1.0,0.0,0.9,0.0,189.74598248799643,8.896271387736002
collection_0003_3000pages,3000,컴퓨터 비전 알고리즘,1.0,0.0,1.0,0.0,194.9733098347982,4.225333531697591
collection_0003_3000pages,3000,강화학습 기법,1.0,0.0,1.0,0.0,208.56587092081705,1.8022855122884114
collection_0003_3000pages,3000,신경망 아키텍처,0.6,0.0,0.8000000000000002,1.1102230246251565e-16,194.45538520812988,2.2252400716145835
collection_0004_4000pages,4000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,271.89040184020996,17.68207550048828
collection_0004_4000pages,4000,자연어 처리 기술,1.0,0.0,1.0,0.0,261.97393735249835,5.212863286336263
collection_0004_4000pages,4000,컴퓨터 비전 알고리즘,1.0,0.0,1.0,0.0,290.2374267578125,5.6018829345703125
collection_0004_4000pages,4000,강화학습 기법,1.0,0.0,1.0,0.0,287.21078236897785,4.552364349365234
collection_0004_4000pages,4000,신경망 아키텍처,1.0,0.0,1.0,0.0,269.12609736124676,6.978273391723633
collection_0005_5000pages,5000,딥러닝 모델의 성능 향상 방법,1.0,0.0,1.0,0.0,353.7474473317464,14.005581537882486
collection_0005_5000pages,5000,자연어 처리 기술,1.0,0.0,0.9,0.0,358.6932023366292,5.776882171630859
collection_0005_5000pages,5000,컴퓨터 비전 알고리즘,1.0,0.0,0.9,0.0,351.57020886739093,6.631771723429362
collection_0005_5000pages,5000,강화학습 기법,1.0,0.0,1.0,0.0,320.6665515899658,6.5034230550130205
collection_0005_5000pages,5000,신경망 아키텍처,1.0,0.0,1.0,0.0,352.1048227945964,11.977354685465494
collection_0008_8000pages,7994,딥러닝 모델의 성능 향상 방법,1.0,0.0,0.9,0.0,583.7856928507487,15.840291976928711
