컬렉션명,페이지_수,쿼리,평균_총_시간_ms,평균_검색_시간_ms,평균_임베딩_시간_ms
collection_0001_1000pages,1000,딥러닝 모델의 성능 향상 방법,18.474260007496923,2.8038999997079372,15.66986000398174
collection_0001_1000pages,1000,자연어 처리 기술,17.313720006495714,2.324980008415878,14.988360006827861
collection_0001_1000pages,1000,컴퓨터 비전 알고리즘,20.557720016222447,2.5579999899491668,17.999240022618324
collection_0001_1000pages,1000,강화학습 기법,17.610179993789643,2.391940006054938,15.21795999724418
collection_0001_1000pages,1000,신경망 아키텍처,18.40969999320805,2.383160009048879,16.026299982331693
collection_0002_2000pages,2000,딥러닝 모델의 성능 향상 방법,19.14823999395594,2.470999991055578,16.676920000463724
collection_0002_2000pages,2000,자연어 처리 기술,17.330100014805794,2.426160010509193,14.903500000946224
collection_0002_2000pages,2000,컴퓨터 비전 알고리즘,17.925420007668436,3.10245999135077,14.822640013881028
collection_0002_2000pages,2000,강화학습 기법,19.672259979415685,2.9599400004372,16.71197998803109
collection_0002_2000pages,2000,신경망 아키텍처,21.92287998041138,2.8747799922712147,19.04769998509437
collection_0003_3000pages,3000,딥러닝 모델의 성능 향상 방법,20.638919982593507,2.751459984574467,17.887079995125532
collection_0003_3000pages,3000,자연어 처리 기술,20.639279996976256,2.999660011846572,17.63911999296397
collection_0003_3000pages,3000,컴퓨터 비전 알고리즘,17.319980019237846,3.0023800092749298,14.317240007221699
collection_0003_3000pages,3000,강화학습 기법,17.911359993740916,3.4288999857380986,14.48212000541389
collection_0003_3000pages,3000,신경망 아키텍처,19.12713999627158,3.4710200037807226,15.655719989445059
collection_0004_4000pages,4000,딥러닝 모델의 성능 향상 방법,20.514839980751276,2.996239985805005,17.518220003694296
collection_0004_4000pages,4000,자연어 처리 기술,20.06345996633172,2.6515399920754135,17.41153998300433
collection_0004_4000pages,4000,컴퓨터 비전 알고리즘,16.679199994541705,2.418020006734878,14.2608999973163
collection_0004_4000pages,4000,강화학습 기법,19.9376399978064,3.414680005516857,16.522679990157485
collection_0004_4000pages,4000,신경망 아키텍처,19.011640001554042,2.6673999964259565,16.34380000177771
collection_0005_5000pages,5000,딥러닝 모델의 성능 향상 방법,21.206699998583645,2.903320000041276,18.3029199950397
collection_0005_5000pages,5000,자연어 처리 기술,19.355660013388842,2.6159600005485117,16.739400010555983
collection_0005_5000pages,5000,컴퓨터 비전 알고리즘,18.28339999774471,3.1978399958461523,15.08513999870047
collection_0005_5000pages,5000,강화학습 기법,19.438380002975464,3.551680000964552,15.886240010149777
collection_0005_5000pages,5000,신경망 아키텍처,19.17100000428036,3.2013599993661046,15.969340002629906
collection_0008_8000pages,7994,딥러닝 모델의 성능 향상 방법,23.99965999647975,3.216819989029318,20.782260003034025
collection_0008_8000pages,7994,자연어 처리 기술,22.37135999603197,3.0991600011475384,19.271859992295504
collection_0008_8000pages,7994,컴퓨터 비전 알고리즘,17.28824001038447,2.6304399827495217,14.657400024589151
collection_0008_8000pages,7994,강화학습 기법,20.440980000421405,3.3901399932801723,17.050520004704595
collection_0008_8000pages,7994,신경망 아키텍처,18.27378000598401,2.657540002837777,15.615900000557303
collection_0009_9000pages,8992,딥러닝 모델의 성능 향상 방법,19.381899992004037,2.5905199931003153,16.791059996467084
collection_0009_9000pages,8992,자연어 처리 기술,20.661359990481287,3.3529600012116134,17.307899985462427
collection_0009_9000pages,8992,컴퓨터 비전 알고리즘,20.22980001056567,3.472160012461245,16.757219994906336
collection_0009_9000pages,8992,강화학습 기법,21.252780000213534,2.9403400025330484,18.312039994634688
collection_0009_9000pages,8992,신경망 아키텍처,18.56719999341294,2.997000003233552,15.569799987133592
collection_0010_10000pages,9992,딥러닝 모델의 성능 향상 방법,19.379859999753535,3.066660021431744,16.312699986156076
collection_0010_10000pages,9992,자연어 처리 기술,20.944699994288385,2.6815999881364405,18.262800003867596
collection_0010_10000pages,9992,컴퓨터 비전 알고리즘,19.263580022379756,2.7167199994437397,16.546640021260828
collection_0010_10000pages,9992,강화학습 기법,18.176659976597875,2.7531999861821532,15.423079987522215
collection_0010_10000pages,9992,신경망 아키텍처,21.91866001812741,2.8318600030615926,19.086260010953993
collection_0012_12000pages,12000,딥러닝 모델의 성능 향상 방법,19.49585999827832,2.7130199945531785,16.782540001440793
collection_0012_12000pages,12000,자연어 처리 기술,20.176880015060306,3.5539199830964208,16.622560028918087
collection_0012_12000pages,12000,컴퓨터 비전 알고리즘,17.479680001270026,2.654139988590032,14.825260010547936
collection_0012_12000pages,12000,강화학습 기법,18.456399999558926,3.006299992557615,15.449780004564673
collection_0012_12000pages,12000,신경망 아키텍처,18.27061999356374,2.7564600110054016,15.513820003252476
collection_0013_13000pages,13000,딥러닝 모델의 성능 향상 방법,20.677799999248236,2.9908199911005795,17.68646000418812
collection_0013_13000pages,13000,자연어 처리 기술,18.683560006320477,3.754699998535216,14.928340003825724
collection_0013_13000pages,13000,컴퓨터 비전 알고리즘,17.501699994318187,2.5273799896240234,14.973980002105236
collection_0013_13000pages,13000,강화학습 기법,17.383699992205948,2.6652200031094253,14.718119986355305
collection_0013_13000pages,13000,신경망 아키텍처,17.932379990816116,2.666119986679405,15.265840000938624
collection_0014_14000pages,14000,딥러닝 모델의 성능 향상 방법,21.67747998610139,3.0226399889215827,18.65441999398172
collection_0014_14000pages,14000,자연어 처리 기술,21.57122000353411,4.025459999684244,17.545219999738038
collection_0014_14000pages,14000,컴퓨터 비전 알고리즘,19.55800000578165,2.578160003758967,16.979499999433756
collection_0014_14000pages,14000,강화학습 기법,17.962479998823255,2.7689000009559095,15.193199994973838
